Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%)
2022 to 2024,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,56.7,53.2,60.2,71
2022 to 2024,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,55.7,50.7,60.6,72
2022 to 2024,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,56.0,51.1,60.9,69
2022 to 2024,England,Local Areas,E08000014,Sefton,Male,1,<1,1,59.0,55.5,62.5,75
2022 to 2024,England,Local Areas,E08000014,Sefton,Female,2,<1,1,59.5,55.9,63.1,73
2022 to 2024,England,Local Areas,E08000015,Wirral,Male,1,<1,1,59.1,55.5,62.7,76
2022 to 2024,England,Local Areas,E08000015,Wirral,Female,2,<1,1,60.1,56.0,64.2,73
2022 to 2024,England,Country,E92000001,England,Male,1,<1,1,60.9,60.7,61.2,77
2022 to 2024,England,Country,E92000001,England,Female,2,<1,1,61.3,61.0,61.6,74
2011 to 2013,Wales,Country,W92000004,Wales,Male,1,<1,1,61.3,60.9,61.8,78
2011 to 2013,Wales,Country,W92000004,Wales,Female,2,<1,1,61.9,61.4,62.4,75
2012 to 2014,Wales,Country,W92000004,Wales,Male,1,<1,1,61.4,60.9,61.8,78
2012 to 2014,Wales,Country,W92000004,Wales,Female,2,<1,1,62.2,61.7,62.8,76
2013 to 2015,Wales,Country,W92000004,Wales,Male,1,<1,1,61.2,60.8,61.7,78
2013 to 2015,Wales,Country,W92000004,Wales,Female,2,<1,1,62.5,62.0,63.0,76
2014 to 2016,Wales,Country,W92000004,Wales,Male,1,<1,1,61.3,60.8,61.7,78
2014 to 2016,Wales,Country,W92000004,Wales,Female,2,<1,1,62.4,61.8,62.9,76
2015 to 2017,Wales,Country,W92000004,Wales,Male,1,<1,1,61.2,60.7,61.7,78
2015 to 2017,Wales,Country,W92000004,Wales,Female,2,<1,1,62.0,61.4,62.6,75
2016 to 2018,Wales,Country,W92000004,Wales,Male,1,<1,1,61.2,60.7,61.7,78
2016 to 2018,Wales,Country,W92000004,Wales,Female,2,<1,1,61.9,61.3,62.5,75
2017 to 2019,Wales,Country,W92000004,Wales,Male,1,<1,1,61.3,60.8,61.8,78
2017 to 2019,Wales,Country,W92000004,Wales,Female,2,<1,1,61.9,61.3,62.5,75
2018 to 2020,Wales,Country,W92000004,Wales,Male,1,<1,1,61.4,60.9,62.0,79
2018 to 2020,Wales,Country,W92000004,Wales,Female,2,<1,1,62.1,61.5,62.8,76
2019 to 2021,Wales,Country,W92000004,Wales,Male,1,<1,1,61.3,60.7,61.9,79
2019 to 2021,Wales,Country,W92000004,Wales,Female,2,<1,1,61.8,61.1,62.4,75
2020 to 2022,Wales,Country,W92000004,Wales,Male,1,<1,1,60.8,60.1,61.4,78
2020 to 2022,Wales,Country,W92000004,Wales,Female,2,<1,1,60.2,59.5,61.0,74
2021 to 2023,Wales,Country,W92000004,Wales,Male,1,<1,1,60.3,59.6,61.0,77
2021 to 2023,Wales,Country,W92000004,Wales,Female,2,<1,1,59.6,58.8,60.4,73
2022 to 2024,Wales,Country,W92000004,Wales,Male,1,<1,1,59.2,58.4,59.9,76
2022 to 2024,Wales,Country,W92000004,Wales,Female,2,<1,1,58.5,57.6,59.4,71
